state,n
Alabama,20
Alaska,3
Arizona,34
Arkansas,3
California,55
Colorado,19
Connecticut,30
District of Columbia,4
Florida,81
Georgia,23
Hawaii,2
Idaho,12
Illinois,46
Indiana,47
Iowa,20
Kansas,14
Kentucky,37
Louisiana,8
Maine,2
Maryland,9
Massachusetts,4
Michigan,16
Minnesota,138
Mississippi,31
Missouri,19
Montana,2
Nebraska,3
Nevada,8
New Hampshire,23
New Jersey,25
New Mexico,8
New York,26
North Carolina,79
North Dakota,3
Ohio,59
Oklahoma,5
Oregon,16
Pennsylvania,35
Rhode Island,2
South Carolina,1
South Dakota,6
Tennessee,13
Texas,104
Utah,1
Virginia,23
Washington,12
West Virginia,27
Wisconsin,61
Wyoming,3
