state,state_po,dem_2016,dem_2020,rep_2016,rep_2020,total_2016,total_2020,other_2016,other_2020,fraud_rank,fraud_score,cum_fraud_82_to_24
alabama,AL,729547,849624,1318250,1441170,2123367,2323282,75570,32488,2,83,20
alaska,AK,116454,153778,163387,189951,318398,357569,38557,13840,28,56,3
arizona,AZ,1161167,1672143,1252401,1661686,2604277,3385294,190709,51465,24,62,34
arkansas,AR,380494,423932,684872,760647,1129896,1219069,64530,34490,7,80,3
california,CA,8753788,11110250,4483810,6006429,14181595,17500881,943997,384202,49,30,55
colorado,CO,1338870,1804352,1202484,1364607,2780220,3256980,238866,88021,37,50,19
connecticut,CT,897572,1080831,673215,714717,1647536,1823857,76749,28309,37,50,30
delaware,DE,235603,296268,185127,200603,442997,504010,22267,7139,35,52,0
district of columbia,DC,282830,317323,12723,18586,311268,344356,15715,8447,28,56,4
florida,FL,4504975,5297045,4617886,5668731,9420039,11067456,297178,101680,2,83,81
georgia,GA,1877963,2474507,2089104,2461837,4114711,4998482,147644,62138,2,83,23
hawaii,HI,266891,366127,128847,196855,428937,574457,33199,11475,51,27,2
idaho,ID,189765,287021,409055,554119,690433,867361,91613,26221,28,56,12
illinois,IL,3090729,3471915,2146015,2446891,5558707,6033744,321963,114938,41,47,46
indiana,IN,1033126,1242416,1557286,1729519,2734958,3033121,144546,61186,9,79,47
iowa,IA,653669,759061,800983,902009,1566031,1690871,111379,29801,15,72,20
kansas,KS,427005,570323,671018,771406,1184403,1372303,86380,30574,16,71,14
kentucky,KY,628854,772285,1202971,1326418,1924149,2134996,92324,36293,14,74,37
louisiana,LA,780154,856034,1178638,1255776,2029032,2148062,70240,36252,9,79,8
maine,ME,357735,430473,335593,359899,747927,822534,54599,32162,37,50,2
maryland,MD,1677928,1985023,943169,976414,2781446,3037031,160349,75594,31,54,9
massachusetts,MA,1995196,2382202,1090893,1167202,3274555,3658005,188466,108601,45,44,4
michigan,MI,2268839,2804040,2279543,2649852,4799284,5539302,250902,85410,27,57,16
minnesota,MN,1367716,1717077,1322951,1484065,2944813,3277171,254146,76029,42,45,138
mississippi,MS,485131,539398,700714,756764,1209357,1313759,23512,17597,16,71,31
missouri,MO,1071068,1253014,1594511,1718736,2807381,3025962,141802,54212,7,80,19
montana,MT,177709,244786,279240,343602,497147,603640,40198,15252,21,65,2
nebraska,NE,284494,374583,495961,556846,844227,951712,63772,20283,19,68,3
nevada,NV,539260,703314,512058,669608,1125385,1404911,74067,31989,50,28,8
new hampshire,NH,348526,424937,345790,365660,744296,803833,49980,13236,21,65,23
new jersey,NJ,2148278,2608335,1601933,1883274,3874046,4549353,123835,57744,42,45,25
new mexico,NM,385234,501614,319667,401894,798319,923965,93418,20457,36,51,8
new york,NY,4547562,5230985,2814589,3244798,7707363,8661735,345212,185952,42,45,26
north carolina,NC,2189316,2684292,2362631,2758773,4741564,5524802,189617,81737,18,70,79
north dakota,ND,93758,114902,216794,235595,344360,361819,33808,11322,37,50,3
ohio,OH,2394164,2679165,2841005,3154834,5496487,5922202,261318,88203,11,76,59
oklahoma,OK,420375,503890,949136,1020280,1452992,1560699,83481,36529,5,82,5
oregon,OR,1002106,1340383,782403,958448,2001336,2374321,216827,75490,47,38,16
pennsylvania,PA,2926441,3458229,2970733,3377674,6115402,6915283,218228,79380,24,62,35
rhode island,RI,252525,307486,180543,199922,464144,517757,31076,10349,24,62,2
south carolina,SC,855373,1091541,1155389,1385103,2103027,2513329,92265,36685,6,81,1
south dakota,SD,117458,150471,227721,261043,370093,422609,24914,11095,20,66,6
tennessee,TN,870695,1143711,1522925,1852475,2508027,3053851,114407,57665,1,90,13
texas,TX,3877868,5259126,4685047,5890347,8969226,11315056,406311,165583,13,75,104
utah,UT,310676,560282,515231,865139,1131430,1495354,305523,69933,33,53,1
vermont,VT,178573,242826,95369,112708,315077,370826,41135,15292,47,38,0
virginia,VA,1981473,2413568,1769443,1962430,3984631,4462600,233715,86602,23,63,23
washington,WA,1742718,2369612,1221747,1584651,3209214,4087631,244749,133368,46,40,12
west virginia,WV,188794,235984,489371,545382,713051,794652,34886,13286,31,54,27
wisconsin,WI,1381823,1630673,1404440,1610065,2975753,3297352,189490,56614,11,76,61
wyoming,WY,55973,73491,174419,193559,255849,278503,25457,11453,33,53,3
