state,state_po,dem_2016,dem_2020,rep_2016,rep_2020,total_2016,total_2020,other_2016,other_2020
ALABAMA,AL,729547,849624,1318250,1441170,2123367,2323282,75570,32488
ALASKA,AK,116454,153778,163387,189951,318398,357569,38557,13840
ARIZONA,AZ,1161167,1672143,1252401,1661686,2604277,3385294,190709,51465
ARKANSAS,AR,380494,423932,684872,760647,1129896,1219069,64530,34490
CALIFORNIA,CA,8753788,11110250,4483810,6006429,14181595,17500881,943997,384202
COLORADO,CO,1338870,1804352,1202484,1364607,2780220,3256980,238866,88021
CONNECTICUT,CT,897572,1080831,673215,714717,1647536,1823857,76749,28309
DELAWARE,DE,235603,296268,185127,200603,442997,504010,22267,7139
DISTRICT OF COLUMBIA,DC,282830,317323,12723,18586,311268,344356,15715,8447
FLORIDA,FL,4504975,5297045,4617886,5668731,9420039,11067456,297178,101680
GEORGIA,GA,1877963,2474507,2089104,2461837,4114711,4998482,147644,62138
HAWAII,HI,266891,366127,128847,196855,428937,574457,33199,11475
IDAHO,ID,189765,287021,409055,554119,690433,867361,91613,26221
ILLINOIS,IL,3090729,3471915,2146015,2446891,5558707,6033744,321963,114938
INDIANA,IN,1033126,1242416,1557286,1729519,2734958,3033121,144546,61186
IOWA,IA,653669,759061,800983,902009,1566031,1690871,111379,29801
KANSAS,KS,427005,570323,671018,771406,1184403,1372303,86380,30574
KENTUCKY,KY,628854,772285,1202971,1326418,1924149,2134996,92324,36293
LOUISIANA,LA,780154,856034,1178638,1255776,2029032,2148062,70240,36252
MAINE,ME,357735,430473,335593,359899,747927,822534,54599,32162
MARYLAND,MD,1677928,1985023,943169,976414,2781446,3037031,160349,75594
MASSACHUSETTS,MA,1995196,2382202,1090893,1167202,3274555,3658005,188466,108601
MICHIGAN,MI,2268839,2804040,2279543,2649852,4799284,5539302,250902,85410
MINNESOTA,MN,1367716,1717077,1322951,1484065,2944813,3277171,254146,76029
MISSISSIPPI,MS,485131,539398,700714,756764,1209357,1313759,23512,17597
MISSOURI,MO,1071068,1253014,1594511,1718736,2807381,3025962,141802,54212
MONTANA,MT,177709,244786,279240,343602,497147,603640,40198,15252
NEBRASKA,NE,284494,374583,495961,556846,844227,951712,63772,20283
NEVADA,NV,539260,703314,512058,669608,1125385,1404911,74067,31989
NEW HAMPSHIRE,NH,348526,424937,345790,365660,744296,803833,49980,13236
NEW JERSEY,NJ,2148278,2608335,1601933,1883274,3874046,4549353,123835,57744
NEW MEXICO,NM,385234,501614,319667,401894,798319,923965,93418,20457
NEW YORK,NY,4547562,5230985,2814589,3244798,7707363,8661735,345212,185952
NORTH CAROLINA,NC,2189316,2684292,2362631,2758773,4741564,5524802,189617,81737
NORTH DAKOTA,ND,93758,114902,216794,235595,344360,361819,33808,11322
OHIO,OH,2394164,2679165,2841005,3154834,5496487,5922202,261318,88203
OKLAHOMA,OK,420375,503890,949136,1020280,1452992,1560699,83481,36529
OREGON,OR,1002106,1340383,782403,958448,2001336,2374321,216827,75490
PENNSYLVANIA,PA,2926441,3458229,2970733,3377674,6115402,6915283,218228,79380
RHODE ISLAND,RI,252525,307486,180543,199922,464144,517757,31076,10349
SOUTH CAROLINA,SC,855373,1091541,1155389,1385103,2103027,2513329,92265,36685
SOUTH DAKOTA,SD,117458,150471,227721,261043,370093,422609,24914,11095
TENNESSEE,TN,870695,1143711,1522925,1852475,2508027,3053851,114407,57665
TEXAS,TX,3877868,5259126,4685047,5890347,8969226,11315056,406311,165583
UTAH,UT,310676,560282,515231,865139,1131430,1495354,305523,69933
VERMONT,VT,178573,242826,95369,112708,315077,370826,41135,15292
VIRGINIA,VA,1981473,2413568,1769443,1962430,3984631,4462600,233715,86602
WASHINGTON,WA,1742718,2369612,1221747,1584651,3209214,4087631,244749,133368
WEST VIRGINIA,WV,188794,235984,489371,545382,713051,794652,34886,13286
WISCONSIN,WI,1381823,1630673,1404440,1610065,2975753,3297352,189490,56614
WYOMING,WY,55973,73491,174419,193559,255849,278503,25457,11453
